Date,Time,GPSLongitude,GPSLatitude,Datetime
2023-08-05,22:58:29,-82.418585,29.6556904,8/5/2023 22:58:29
2023-08-05,23:00:29,-82.4185916,29.6556532,8/5/2023 23:00:29
2023-08-05,23:02:51,-82.4185225,29.6557242,8/5/2023 23:02:51
2023-08-05,23:05:00,-82.4181988,29.6549993,8/5/2023 23:05:00
2023-08-05,23:10:13,-82.417346,29.6545072,8/5/2023 23:10:13
2023-08-05,23:13:47,-82.4179707,29.6547224,8/5/2023 23:13:47
2023-08-05,23:17:45,-82.41827,29.6548054,8/5/2023 23:17:45
2023-08-05,23:19:54,-82.4185945,29.6557043,8/5/2023 23:19:54
2023-08-05,23:24:05,-82.4188767,29.6551097,8/5/2023 23:24:05
2023-08-05,23:26:09,-82.4186306,29.655642,8/5/2023 23:26:09
2023-08-05,23:27:49,-82.4185889,29.6557232,8/5/2023 23:27:49
2023-08-05,23:28:54,-82.4185683,29.6556998,8/5/2023 23:28:54
2023-08-05,23:30:04,-82.4185905,29.6556838,8/5/2023 23:30:04
2023-08-05,23:31:09,-82.4185223,29.6556754,8/5/2023 23:31:09
2023-08-05,23:32:14,-82.4185912,29.6556998,8/5/2023 23:32:14
2023-08-05,23:33:24,-82.4185772,29.6557082,8/5/2023 23:33:24
2023-08-05,23:34:34,-82.4187928,29.6561627,8/5/2023 23:34:34
2023-08-05,23:34:50,-82.4186241,29.6555842,8/5/2023 23:34:50
2023-08-05,23:35:39,-82.4223072,29.6594738,8/5/2023 23:35:39
2023-08-05,23:36:49,-82.4170646,29.657066,8/5/2023 23:36:49
2023-08-05,23:37:54,-82.4060483,29.6442515,8/5/2023 23:37:54
2023-08-05,23:38:59,-82.3953597,29.6302123,8/5/2023 23:38:59
2023-08-05,23:40:04,-82.3852524,29.6158626,8/5/2023 23:40:04
2023-08-05,23:41:09,-82.3751312,29.6027217,8/5/2023 23:41:09
2023-08-05,23:42:19,-82.367358,29.6062869,8/5/2023 23:42:19
2023-08-05,23:43:29,-82.3555221,29.6134266,8/5/2023 23:43:29
2023-08-05,23:44:34,-82.3434736,29.614607,8/5/2023 23:44:34
2023-08-05,23:45:15,-82.340218,29.6182875,8/5/2023 23:45:15
2023-08-05,23:46:19,-82.3393952,29.6240387,8/5/2023 23:46:19
2023-08-05,23:47:22,-82.3410797,29.6259768,8/5/2023 23:47:22
2023-08-05,23:47:24,-82.3411198,29.6265641,8/5/2023 23:47:24
2023-08-05,23:48:40,-82.3412482,29.6259171,8/5/2023 23:48:40
2023-08-05,23:49:36,-82.3410621,29.626155,8/5/2023 23:49:36
2023-08-06,0:08:47,-82.341095,29.6259579,8/6/2023 0:08:47
2023-08-06,0:09:52,-82.3410925,29.6259481,8/6/2023 0:09:52
2023-08-06,0:11:02,-82.3411152,29.6259633,8/6/2023 0:11:02
2023-08-06,0:12:07,-82.3410597,29.6259427,8/6/2023 0:12:07
2023-08-06,0:13:12,-82.3411415,29.6259555,8/6/2023 0:13:12
2023-08-06,0:14:17,-82.3411274,29.6259746,8/6/2023 0:14:17
2023-08-06,0:15:22,-82.3410653,29.6259958,8/6/2023 0:15:22
2023-08-06,0:16:32,-82.3405706,29.6245018,8/6/2023 0:16:32
2023-08-06,0:16:38,-82.3411031,29.6259048,8/6/2023 0:16:38
