Lat,Long,Time
35.1291529,-80.9908092,1725681486.999
35.129212,-80.9908214,1725681610.999
35.1293384,-80.9909761,1725681808.999
35.1290579,-80.9908534,1725682214.999
35.1291517,-80.9907306,1725682447.999
35.1291789,-80.9907404,1725682651.999
35.1291992,-80.9908549,1725682814.999
35.1291549,-80.9908847,1725683187.998
35.1291873,-80.9909901,1725683772.999
35.1291921,-80.990782,1725684071.998
35.129106,-80.9909547,1725684255.998
35.1291815,-80.9908233,1725684427.999
35.1290768,-80.9907549,1725684593.999
35.129,-80.9910506,1725684882.998
35.1291535,-80.9909112,1725685123.998
35.1292669,-80.9908079,1725685415.998
35.1292079,-80.990819,1725685532.999
35.1292124,-80.9907508,1725685654.999
35.1292288,-80.990867,1725685818.999
35.12912,-80.9909121,1725686136.999
35.1291316,-80.9908406,1725686291.999
35.1290347,-80.9908492,1725686654.999
35.1289808,-80.9908283,1725686835.999
35.1290728,-80.9908792,1725687017.999
35.129225,-80.9907646,1725687202.999
35.1292609,-80.9908808,1725687356.999
35.1291951,-80.9907834,1725687524.999
35.1290975,-80.9907897,1725687965.098
35.1291812,-80.99082,1725688219.999
35.1291534,-80.9907696,1725688399.633
35.1291801,-80.9907886,1725688756.998
35.129246,-80.9908054,1725689224.998
35.1291733,-80.9908078,1725689383.423
35.1292124,-80.9908818,1725689820.998
35.129198,-80.9908278,1725690175.997
35.1291347,-80.9909336,1725690619.098
35.1291629,-80.9908023,1725691105.096
35.1291399,-80.9908484,1725691233.652
35.1291678,-80.9907861,1725691385.385
35.1292385,-80.9908129,1725691527.151
35.1292302,-80.9908171,1725691840.094
29.626014236111725,-82.34114856613134,1739287598.119206
29.626014236111725,-82.34114856613134,1739287600.3709168
29.626014236111725,-82.34114856613134,1739287601.743721
29.626014236111725,-82.34114856613134,1739287607.657656
29.626014236111725,-82.34114856613134,1739287619.200742
29.61379528977236,-82.35482997426007,1739289961.5089068
29.644785485571063,-82.40686603101764,1739290331.308854
29.683910932796064,-82.42459208169669,1739290723.942833
29.682534677474873,-82.43100786873347,1739291047.9095988
29.683184937993378,-82.43614341237632,1739303356.119008
29.68388695852558,-82.44132685721746,1739303695.0158281
29.62210702246951,-82.38968253143354,1739303995.0847769
29.620405890315503,-82.38016675192257,1739304295.085044
29.633341761707594,-82.3732367282533,1739304595.1014419
29.622503316096957,-82.37274211969391,1739307331.786135
29.61448331656638,-82.3443517210131,1739307667.76821
29.625168145191246,-82.34095821664079,1739307977.247308
29.626006063918762,-82.34119197102095,1739335225.385958
29.626006063918762,-82.34119197102095,1739341979.234529
29.62071681005283,-82.34048292095446,1739369234.0710049
29.63958237297002,-82.31216323391948,1739369575.221895
29.669984679538093,-82.29992132187654,1739369912.212206
29.685392319252422,-82.27872415453407,1739370308.8167958
29.684487953809725,-82.28803594604348,1739371267.097296
29.65526796880146,-82.30928859681106,1739371567.077069
29.62909598415468,-82.32260826336464,1739371867.099201
29.636459164051,-82.3390373618225,1739372167.0943809
29.626013617978334,-82.34115451948087,1739372478.856005
29.61889363790812,-82.3397497530952,1739391439.704757
29.604051335377736,-82.37286550218096,1739391796.960394
29.672372361252723,-82.4309821288867,1739392101.6145139
29.682940065344837,-82.43345251743193,1739392402.065188
29.683009521818203,-82.44028140894143,1739402305.133033
29.664081129969354,-82.42692180845233,1739402725.944865
29.601918215213423,-82.36999056087429,1739403170.313538
