Latitude,Longitude,Datetime
29.6336709,-82.3589879,1721265467
29.6330609,-82.3581763,1721265478
29.6325103,-82.3613209,1721265537
29.6289174,-82.3608773,1721265607
29.6212521,-82.3559076,1721265677
29.6138425,-82.3551297,1721265742
29.6142366,-82.349631,1721265807
29.6163059,-82.3405152,1721265872
29.6197139,-82.3400175,1721265890
29.6259323,-82.3412796,1721265953
29.62597,-82.3413314,1721265955
29.6253039,-82.340933,1721265957
29.625931,-82.3410082,1721266017
29.6259822,-82.3413429,1721267905
29.6259822,-82.3413429,1721273359
29.6259822,-82.3413429,1721274501
29.6259822,-82.3413429,1721336126
29.6259822,-82.3413429,1721337844
29.6259822,-82.3413429,1721338562
29.6259822,-82.3413429,1721339190
29.6259822,-82.3413429,1721339690
29.6259822,-82.3413429,1721340340
29.6259822,-82.3413429,1721340830
29.6259822,-82.3413429,1721342112
29.6259822,-82.3413429,1721342318
29.6259822,-82.3413429,1721342787
29.6259822,-82.3413429,1721345228
29.6259822,-82.3413429,1721345879
29.6259822,-82.3413429,1721346448
29.6259822,-82.3413429,1721366971
29.6259537,-82.3413126,1721400506
29.62597,-82.3413314,1721406110
29.6237151,-82.3395493,1721406182
29.6143067,-82.3501965,1721406294
29.604191,-82.3706438,1721406431
29.6155117,-82.3831264,1721406667
29.6184303,-82.3832418,1721406817
29.6274548,-82.3871442,1721407012
29.6260897,-82.3867733,1721407063
29.6230746,-82.3862588,1721407126
29.6242758,-82.3839867,1721407131
29.6236556,-82.3832854,1721407194
29.6236413,-82.3832972,1721407259
29.6236902,-82.3834799,1721407277
29.6240121,-82.3841492,1721407432
29.623971,-82.3842502,1721407578
29.623894,-82.3841478,1721408189
29.6239616,-82.3842928,1721408458
29.6248376,-82.384031,1721409793
29.6237806,-82.3831464,1721409937
29.6237958,-82.3829833,1721410081
29.6239675,-82.3838496,1721410181
29.612783,-82.3818987,1721410443
29.6135011,-82.355319,1721410741
29.6262463,-82.34117,1721410979
29.6259878,-82.3411977,1721411019
29.6259723,-82.3413255,1721426452
29.6259723,-82.3413255,1721431617
29.6259723,-82.3413255,1721432098
29.6259723,-82.3413255,1721432549
29.6259723,-82.3413255,1721433687
29.6259899,-82.3410468,1721439801
29.6260542,-82.3410064,1721439926
29.626008,-82.3409556,1721440096
29.6260544,-82.3413311,1721440293
29.6260248,-82.3411567,1721440458
29.6260126,-82.3411571,1721440581
29.6259711,-82.3410562,1721440717
29.6259192,-82.3413038,1721440950
29.6259394,-82.3410675,1721441782
29.6259749,-82.3409956,1721442128
29.6259637,-82.3412646,1721442247
29.6216385,-82.3398784,1721442344
29.6110274,-82.3415133,1721442409
29.597198,-82.3392888,1721442479
29.5832007,-82.3376711,1721442544
29.5698475,-82.3342388,1721442614
29.5566525,-82.3302942,1721442685
29.5451584,-82.3209819,1721442750
29.5336899,-82.3089148,1721442819
29.5207301,-82.3008452,1721442885
29.5136451,-82.2895854,1721442950
29.5131962,-82.2882354,1721442999
29.5132374,-82.2882098,1721443240
